frame,class_name,stage,elapsed_seconds,num_masks,num_points,fps,vram_mb,num_classes
1,ALL,sam3_image_embedding,0.4722,0,0,0.0,0.0,0
1,chair,sam3_class,0.2381,0,0,0.0,0.0,0
1,table,sam3_class,0.0482,1,0,0.0,0.0,0
1,person,sam3_class,0.0485,1,0,0.0,0.0,0
1,monitor,sam3_class,0.0472,0,0,0.0,0.0,0
1,keyboard,sam3_class,0.0479,0,0,0.0,0.0,0
1,mouse,sam3_class,0.049,0,0,0.0,0.0,0
1,floor,sam3_class,0.0487,0,0,0.0,0.0,0
1,wall,sam3_class,0.0502,1,0,0.0,0.0,0
1,ALL,sam3_full_frame,1.0808,3,0,0.0,0.0,0
1,ALL,pointcloud_generation,0.1655,0,47758,0.0,0.0,0
1,ALL,full_pipeline,1.313,0,47758,0.76,3418.8,3
2,ALL,sam3_image_embedding,0.0163,0,0,0.0,0.0,0
2,chair,sam3_class,0.3099,0,0,0.0,0.0,0
2,table,sam3_class,0.0497,0,0,0.0,0.0,0
2,person,sam3_class,0.0501,1,0,0.0,0.0,0
2,monitor,sam3_class,0.0477,0,0,0.0,0.0,0
2,keyboard,sam3_class,0.0482,0,0,0.0,0.0,0
2,mouse,sam3_class,0.0492,0,0,0.0,0.0,0
2,floor,sam3_class,0.049,0,0,0.0,0.0,0
2,wall,sam3_class,0.0501,1,0,0.0,0.0,0
2,ALL,sam3_full_frame,0.6959,2,0,0.0,0.0,0
2,ALL,pointcloud_generation,0.1513,0,43786,0.0,0.0,0
2,ALL,full_pipeline,0.889,0,43786,1.12,3418.8,2
3,ALL,sam3_image_embedding,0.0153,0,0,0.0,0.0,0
3,chair,sam3_class,0.3123,0,0,0.0,0.0,0
3,table,sam3_class,0.0504,0,0,0.0,0.0,0
3,person,sam3_class,0.0503,1,0,0.0,0.0,0
3,monitor,sam3_class,0.0488,0,0,0.0,0.0,0
3,keyboard,sam3_class,0.0489,0,0,0.0,0.0,0
3,mouse,sam3_class,0.0494,0,0,0.0,0.0,0
3,floor,sam3_class,0.0494,0,0,0.0,0.0,0
3,wall,sam3_class,0.0499,1,0,0.0,0.0,0
3,ALL,sam3_full_frame,0.7002,2,0,0.0,0.0,0
3,ALL,pointcloud_generation,0.1446,0,42135,0.0,0.0,0
3,ALL,full_pipeline,0.8835,0,42135,1.13,3418.8,2
4,ALL,sam3_image_embedding,0.0163,0,0,0.0,0.0,0
4,chair,sam3_class,0.3127,0,0,0.0,0.0,0
4,table,sam3_class,0.0507,0,0,0.0,0.0,0
4,person,sam3_class,0.0499,1,0,0.0,0.0,0
4,monitor,sam3_class,0.0483,0,0,0.0,0.0,0
4,keyboard,sam3_class,0.0495,0,0,0.0,0.0,0
4,mouse,sam3_class,0.0487,0,0,0.0,0.0,0
4,floor,sam3_class,0.0498,0,0,0.0,0.0,0
4,wall,sam3_class,0.0496,1,0,0.0,0.0,0
4,ALL,sam3_full_frame,0.7032,2,0,0.0,0.0,0
4,ALL,pointcloud_generation,0.1494,0,43059,0.0,0.0,0
4,ALL,full_pipeline,0.8956,0,43059,1.12,3418.8,2
5,ALL,sam3_image_embedding,0.0159,0,0,0.0,0.0,0
5,chair,sam3_class,0.3151,2,0,0.0,0.0,0
5,table,sam3_class,0.0509,1,0,0.0,0.0,0
5,person,sam3_class,0.0488,0,0,0.0,0.0,0
5,monitor,sam3_class,0.0485,0,0,0.0,0.0,0
5,keyboard,sam3_class,0.049,0,0,0.0,0.0,0
5,mouse,sam3_class,0.0484,0,0,0.0,0.0,0
5,floor,sam3_class,0.0502,1,0,0.0,0.0,0
5,wall,sam3_class,0.0503,2,0,0.0,0.0,0
5,ALL,sam3_full_frame,0.7054,6,0,0.0,0.0,0
